Level,Item,Type,ItemDesc,Commodity Code,Supplier,Region,Year,Quarter,Answer,Price,Quantity,ExtendedPrice,Color,Size,Attachments,Requirements,Description
1,1.4,Question,Matrixed question,,Lenovo,APAC,2006,Q1,Bogus,,,,,,APAC A1; APAC A2,R1,Description of 1.4: Matrixed question
1,1.4,Question,Matrixed question,,Lenovo,EUR,2006,Q1,Bogusso,,,,,,EUR A1; EUR A2; EUR A3,R1; R2; R3,Description of 1.4: Matrixed question
0,2,Section,Items,,,,,,,10,100,1000,,,,,Description of 2: Items
1,2.1,Section,Ball Bearings,Ball Bearing Parts,,,,,,,,,,,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Apple,APAC,2006,Q2,,45,6,270,Red,Small,B1; B2,R1,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Apple,EUR,2006,Q1,,21,1075,22575,Red,Huge,C1;C2;C3,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Apple,USA,2006,Q1,,56,31,1736,Green,Huge,D1;D2;D3,R1; R2,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Best,APAC,2006,Q2,,18,707,12726,,Small,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Best,EUR,2006,Q1,,34,399,13566,Red,Huge,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Best,USA,2006,Q1,,18,635,11430,Green,Huge,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Dell,APAC,2006,Q2,,49,425,20825,Red,Medium,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Dell,USA,2006,Q1,,1,38,38,Red,Small,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Gateway,APAC,2006,Q2,,11,679,7469,Red,Medium,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Gateway,EUR,2006,Q1,,104,21,2184,Red,Small,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Gateway,USA,2006,Q1,,82,893,73226,Green,Small,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Historical,APAC,2006,Q2,,70,1083,75810,,Huge,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Historical,EUR,2006,Q1,,32,131,4192,Blue,Large,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Historical,USA,2006,Q1,,55,21,1155,Red,Large,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,HP,APAC,2006,Q2,,64,61,3904,,Huge,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,HP,EUR,2006,Q1,,94,456,42864,Blue,Large,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,HP,USA,2006,Q1,,70,39,2730,Red,Large,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Initial,APAC,2006,Q2,,43,2,86,Green,Large,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Initial,EUR,2006,Q1,,58,237,13746,Green,Medium,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Initial,USA,2006,Q1,,18,103,1854,Blue,Medium,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Lenovo,APAC,2006,Q2,,18,188,3384,,Small,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Lenovo,EUR,2006,Q1,,89,922,82058,Blue,Huge,,,Description of 2.1: Ball Bearings
2,2.1,Item,Ball Bearings,Ball Bearing Parts,Lenovo,USA,2006,Q1,,20,659,13180,Red,Huge,,,Description of 2.1: Ball Bearings
1,2.2,Section,Bolts,Bolt Parts,,,,,,,,,,,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Apple,APAC,2006,Q2,,1,1120,1120,Red,Large,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Apple,EUR,2006,Q1,,32,172,5504,Red,Medium,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Apple,USA,2006,Q1,,38,112,4256,Green,Medium,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Best,APAC,2006,Q2,,3,83,249,Green,Huge,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Best,EUR,2006,Q1,,47,496,23312,Green,Large,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Best,USA,2006,Q1,,3,8,24,Blue,Large,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Dell,APAC,2006,Q2,,14,52,728,Green,Small,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Dell,USA,2006,Q1,,2,176,352,Green,Huge,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Gateway,APAC,2006,Q2,,5,142,710,Red,Huge,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Gateway,EUR,2006,Q1,,20,17,340,Red,Large,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Gateway,USA,2006,Q1,,11,142,1562,Green,Large,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Historical,APAC,2006,Q2,,17,24,408,Red,Large,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Historical,EUR,2006,Q1,,2,21,42,Red,Medium,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Historical,USA,2006,Q1,,56,5,280,Green,Medium,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,HP,APAC,2006,Q2,,9,4,36,Blue,Medium,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,HP,EUR,2006,Q1,,48,198,9504,Blue,Small,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,HP,USA,2006,Q1,,13,708,9204,Red,Small,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Initial,APAC,2006,Q2,,69,170,11730,Blue,Medium,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Initial,EUR,2006,Q1,,31,743,23033,Blue,Small,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Initial,USA,2006,Q1,,58,633,36714,Red,Small,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Lenovo,APAC,2006,Q2,,45,235,10575,Blue,Large,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Lenovo,EUR,2006,Q1,,13,376,4888,Blue,Medium,,,Description of 2.2: Bolts
2,2.2,Item,Bolts,Bolt Parts,Lenovo,USA,2006,Q1,,21,410,8610,Red,Medium,,,Description of 2.2: Bolts
1,2.3,Section,Nuts,Nut Parts,,,,,,,,,,,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,APAC,2006,Q2,,2,126,252,Blue,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,APAC,2006,Q3,,14,205,2870,Red,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,APAC,2006,Q4,,21,471,9891,Green,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,APAC,2007,Q1,,10,360,3600,Green,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,APAC,2007,Q2,,14,155,2170,Blue,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,APAC,2007,Q3,,65,331,21515,Red,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,APAC,2007,Q4,,2,59,118,Green,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,EUR,2006,Q1,,49,110,5390,Blue,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,EUR,2006,Q2,,37,42,1554,Red,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,EUR,2006,Q3,,23,18,414,Green,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,EUR,2006,Q4,,24,9,216,Blue,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,EUR,2007,Q1,,10,135,1350,Blue,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,EUR,2007,Q2,,7,155,1085,Red,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,EUR,2007,Q3,,33,115,3795,Green,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,EUR,2007,Q4,,4,681,2724,Blue,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,USA,2006,Q1,,13,37,481,Red,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,USA,2006,Q2,,5,42,210,Green,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,USA,2006,Q3,,6,123,738,Blue,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,USA,2006,Q4,,18,47,846,Red,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,USA,2007,Q1,,43,389,16727,Red,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,USA,2007,Q2,,48,276,13248,Green,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,USA,2007,Q3,,15,34,510,Blue,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Apple,USA,2007,Q4,,19,361,6859,Red,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,APAC,2006,Q2,,43,229,9847,Green,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,APAC,2006,Q3,,39,218,8502,Blue,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,APAC,2006,Q4,,39,24,936,Red,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,APAC,2007,Q1,,1,61,61,Green,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,APAC,2007,Q2,,16,127,2032,Blue,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,APAC,2007,Q3,,54,58,3132,Red,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,APAC,2007,Q4,,19,402,7638,Green,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,EUR,2006,Q1,,1,129,129,Green,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,EUR,2006,Q2,,43,410,17630,Blue,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,EUR,2006,Q3,,11,310,3410,Red,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,EUR,2006,Q4,,17,7,119,Green,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,EUR,2007,Q1,,25,20,500,Blue,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,EUR,2007,Q2,,18,79,1422,Red,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,EUR,2007,Q3,,33,200,6600,Green,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,EUR,2007,Q4,,4,15,60,Blue,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,USA,2006,Q1,,37,136,5032,Blue,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,USA,2006,Q2,,41,337,13817,Red,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,USA,2006,Q3,,52,42,2184,Green,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,USA,2006,Q4,,1,197,197,Blue,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,USA,2007,Q1,,5,5,25,Red,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,USA,2007,Q2,,23,254,5842,Green,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,USA,2007,Q3,,1,289,289,Blue,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,USA,2007,Q4,,31,24,744,Red,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Best,,2007,Q1,This is the answer!,1,61,61,Red,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,APAC,2006,Q2,,17,18,306,Blue,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,APAC,2006,Q3,,29,190,5510,Red,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,APAC,2006,Q4,,4,375,1500,Green,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,APAC,2007,Q1,,1,339,339,Red,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,APAC,2007,Q2,,62,253,15686,Green,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,APAC,2007,Q3,,23,94,2162,Blue,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,APAC,2007,Q4,,31,250,7750,Red,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,USA,2006,Q1,,38,293,11134,Blue,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,USA,2006,Q2,,17,15,255,Red,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,USA,2006,Q3,,8,36,288,Green,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,USA,2006,Q4,,8,236,1888,Blue,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,USA,2007,Q1,,20,289,5780,Green,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,USA,2007,Q2,,17,70,1190,Blue,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,USA,2007,Q3,,30,326,9780,Red,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Dell,USA,2007,Q4,,18,10,180,Green,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,APAC,2006,Q2,,14,21,294,Blue,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,APAC,2006,Q3,,10,598,5980,Red,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,APAC,2006,Q4,,43,60,2580,Green,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,APAC,2007,Q1,,1,85,85,Green,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,APAC,2007,Q2,,9,112,1008,Blue,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,APAC,2007,Q3,,5,107,535,Red,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,APAC,2007,Q4,,37,94,3478,Green,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,EUR,2006,Q1,,33,172,5676,Blue,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,EUR,2006,Q2,,2,67,134,Red,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,EUR,2006,Q3,,55,196,10780,Green,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,EUR,2006,Q4,,13,180,2340,Blue,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,EUR,2007,Q1,,1,337,337,Blue,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,EUR,2007,Q2,,8,307,2456,Red,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,EUR,2007,Q3,,19,73,1387,Green,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,EUR,2007,Q4,,13,125,1625,Blue,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,USA,2006,Q1,,44,142,6248,Red,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,USA,2006,Q2,,1,520,520,Green,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,USA,2006,Q3,,1,11,11,Blue,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,USA,2006,Q4,,8,308,2464,Red,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,USA,2007,Q1,,14,35,490,Red,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,USA,2007,Q2,,1,217,217,Green,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,USA,2007,Q3,,50,115,5750,Blue,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Gateway,USA,2007,Q4,,8,256,2048,Red,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,APAC,2006,Q2,,69,296,20424,Green,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,APAC,2006,Q3,,23,150,3450,Blue,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,APAC,2006,Q4,,6,68,408,Red,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,APAC,2007,Q1,,47,148,6956,Red,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,APAC,2007,Q2,,4,373,1492,Green,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,APAC,2007,Q3,,17,437,7429,Blue,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,APAC,2007,Q4,,2,14,28,Red,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,EUR,2006,Q1,,46,310,14260,Green,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,EUR,2006,Q2,,3,32,96,Blue,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,EUR,2006,Q3,,1,568,568,Red,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,EUR,2006,Q4,,46,132,6072,Green,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,EUR,2007,Q1,,11,17,187,Green,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,EUR,2007,Q2,,1,3,3,Blue,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,EUR,2007,Q3,,10,41,410,Red,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,EUR,2007,Q4,,5,109,545,Green,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,USA,2006,Q1,,15,513,7695,Blue,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,USA,2006,Q2,,64,155,9920,Red,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,USA,2006,Q3,,1,155,155,Green,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,USA,2006,Q4,,19,89,1691,Blue,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,USA,2007,Q1,,2,101,202,Blue,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,USA,2007,Q2,,24,46,1104,Red,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,USA,2007,Q3,,41,240,9840,Green,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Historical,USA,2007,Q4,,16,370,5920,Blue,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,APAC,2006,Q2,,2,6,12,Green,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,APAC,2006,Q3,,6,214,1284,Blue,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,APAC,2006,Q4,,4,372,1488,Red,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,APAC,2007,Q1,,7,24,168,Blue,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,APAC,2007,Q2,,8,43,344,Red,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,APAC,2007,Q3,,41,102,4182,Green,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,APAC,2007,Q4,,1,646,646,Blue,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,EUR,2006,Q1,,10,230,2300,Green,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,EUR,2006,Q3,,6,294,1764,Blue,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,EUR,2006,Q4,,18,88,1584,Red,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,EUR,2007,Q1,,3,61,183,Red,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,EUR,2007,Q2,,33,78,2574,Green,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,EUR,2007,Q3,,1,30,30,Blue,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,EUR,2007,Q4,,2,92,184,Red,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,USA,2006,Q1,,5,715,3575,Green,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,USA,2006,Q2,,3,567,1701,Blue,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,USA,2006,Q3,,9,1,9,Red,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,USA,2006,Q4,,17,651,11067,Green,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,USA,2007,Q1,,11,45,495,Green,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,USA,2007,Q2,,25,179,4475,Blue,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,USA,2007,Q3,,22,564,12408,Red,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,HP,USA,2007,Q4,,2,99,198,Green,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Initial,APAC,2006,Q2,,10,21,210,Red,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Initial,APAC,2006,Q3,,75,204,15300,Green,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Initial,APAC,2006,Q4,,18,278,5004,Blue,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Initial,APAC,2007,Q1,,47,164,7708,Blue,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Initial,APAC,2007,Q2,,4,241,964,Red,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Initial,APAC,2007,Q3,,5,72,360,Green,Medium,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Initial,APAC,2007,Q4,,66,1,66,Blue,Large,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Initial,EUR,2006,Q1,,26,188,4888,Red,Huge,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Initial,EUR,2006,Q2,,15,254,3810,Green,Small,,,Description of 2.3: Nuts
2,2.3,Item,Nuts,Nut Parts,Initial,EUR,2006,Q3,,6,19,114,Blue,Medium,,,Description of 2.3: Nuts
